catalogue_entry,titles_names,catalog level,classification1,classification2,Material,description_notes,inscription/ marks,measurements,Exhibition_hall,periods,find spot,creator,ownership,collecting history,contributor_type,location,photo,Unnamed: 19,Unnamed: 20
77,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,Swing handle,,H30 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE CHINESE GOVERNMENT,,government,China,,,
78,HSÜ (food vessel),item,Bronze,Containers,metalwork; bronze,Cover missing,Inscribed,L30.2 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,THE CHINESE GOVERNMENT,,government,China,,,
79,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 26.5 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,THE CHINESE GOVERNMENT,,government,China,,,
80,FU (food vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,L 30.5cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,Ch‘i State,,THE CHINESE GOVERNMENT,,government,China,yes,,
81,HU (wine vessel) and cover,item,Bronze,Containers,metalwork; bronze,GOURD-SHAPED,,H 33.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE CHINESE GOVERNMENT,,government,China,yes,,
82,I (ewer),item,Bronze,Containers,metalwork; bronze,Figures of fish and duck inside the vessel,,L 27 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,THE CHINESE GOVERNMENT,,government,China,yes,,
83,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,FLAT,Inscribed,H 26 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE CHINESE GOVERNMENT,,government,China,yes,,
84,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,"with birds and beasts drawn in incised line, Bosses inlaid gold and silver 。",,H 33 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE CHINESE GOVERNMENT,,government,China,yes,,
85,I (ewer),item,Bronze,Containers,metalwork; bronze,Pendent ring on one side of body 。,,L29 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,THE CHINESE GOVERNMENT,,government,China,,,
86,I (ewer),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 13 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE CHINESE GOVERNMENT,,government,China,,,
87,KUEI (food vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H33cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,Ch‘i State,,THE CHINESE GOVERNMENT,,government,China,,,
88,TING (caldron),item,Bronze,Containers,metalwork; bronze,,Inscribed,H30.2cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,Shih State,,THE CHINESE GOVERNMENT,,government,China,yes,,
89,CHUNG (bell),item,Bronze,Musical Instruments,metalwork; bronze,,Inscribed,H 42.6cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,Wu State,,THE CHINESE GOVERNMENT,,government,China,,,
90,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,with hunting scenes,,H 37 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE CHINESE GOVERNMENT,,government,China,yes,,
