catalogue_entry,titles_names,catalog level,classification1,classification2,Material,description_notes,inscription/ marks,measurements,Exhibition_hall,periods,find spot,creator,ownership,collecting history,contributor_type,location,photo,Unnamed: 19,Unnamed: 20
120,KNEELING FIGURE,item,Bronze,Sculptures,metalwork; bronze,wearing a mask and holding two sockets,,H 14.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"DR OSVALD SIRÉN, Stockholm",,private,"Stockholm, Sweden",yes,,
121,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,,,H 31 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",yes,,
122,APPLIQUÉ,item,Bronze,Ornament,metalwork; bronze,,,,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"J. HOMBERG, Paris",,private,"Paris, France",yes,,
123,LIEN (casket) and cover,item,Bronze,Containers,metalwork; bronze,,,Di 22.8 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"MRS CHRISTIAN R. HOLMES, New York",,private,"New York, U.S.A.",yes,,
124,HU (wine vessel) and cover,item,Bronze,Containers,metalwork; bronze,,Inscribed,H 16.6 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"THE WILLIAM ROCKHILL NELSON GALLERY OF ART, Kansas City",,museum,"Kansas, U.S.A.",yes,,
125,APPLIQUÉ,item,Bronze,Ornament,metalwork; bronze,with animal forms,,"L8.8 cm, W 9.2 cm",1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"H. J. OPPENHEIM, London",,private,"London, U.K.",yes,,
126,KNEELING FIGURE,item,Bronze,Sculptures,metalwork; bronze,,,H 25 in,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"RAYMOND A. BIDWELL, Springfield, Mass",,private,"Massachusetts, U.S.A.",yes,,
127,YU (wine vessel),item,Bronze,Containers,metalwork; bronze,Band of convoluted pattern,,L 22.2 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"ÖSTASIATISKA SAMLINGARNA, Stockholm",,museum,"Stockholm, Sweden",yes,,
128,YO (bell),item,Bronze,Musical Instruments,metalwork; bronze,with loop handle,,H  std 38.6 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"BARON SUMITOMO, Kyoto",,private,"Tokyo, Japan",yes,,
129,HORSE,item,Bronze,Sculptures,metalwork; bronze,,,L18.6 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"A HELLSTRÖM, Mölndal, Sweden",,private,"Malmö, Sweden",yes,,
130,AXE,item,Bronze,Tools,metalwork; bronze,decorated with elephant and other animals,,L 14.6 cm W 11.1 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
131,GOURD-SHAPED HU (wine vessel) and cover,item,Bronze,Containers,metalwork; bronze,,,H 32.7 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"A HELLSTRÖM, Mölndal, Sweden",,private,"Mölndal, Sweden",yes,,
132,TING (caldron) and cover,item,Bronze,Containers,metalwork; bronze,,,H 22.1 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"THE ARTS AND CRAFTS MUSEUM, Gothenburg",,museum,"Gothenburg, Sweden",yes,,
133,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 48.2 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"EDGAR WORCH, Geneva",,private,"Geneva, Switzerland",yes,,
134,TSUN (wine vessel),item,Bronze,Containers,metalwork; bronze,"in the form of a goose, Inlaid with gold",,H 24.7 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"C. T. LOO, Paris",,private,"Paris, France",yes,,
135,OVAL VESSEL,item,Bronze,Containers,metalwork; bronze,with figures of two frogs,,L. 24.1 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"MRS. CHRISTIAN R. HOLMES, New York",,private,"New York, U.S.A.",yes,,
136,MYTHICAL QUADRUPED,item,Bronze,Sculptures,metalwork; bronze,with surface decoration of geometric designs,,L. 21 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"H. J. OPPENHEIM, London",,private,"London, U.K.",yes,,
137,LIEN,item,Bronze,Containers,metalwork; bronze,,,19.6 by 13.2 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"MAJOR-GENERAL SIR NEILL MALCOLM, K.C.B., D.S.O., London",,private,"London, U.K.",yes,,
138,APPLIQUÉ MASK,item,Bronze,Ornament,metalwork; bronze,,,H. 19.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
139,CHUNG (bell),item,Bronze,Musical Instruments,metalwork; bronze,with central canon (canton),,H. 20.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"MRS. CHRISTIAN R. HOLMES, New York",,private,"New York, U.S.A.",yes,,
140,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,with bands of interlaced phoenixes,,H. 35.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"DR. E. RIEFSTAHL, Stockholm",,private,"Stockholm, Sweden",yes,,
141,WHEEL-HUB,item,Bronze,Vehicles,metalwork; bronze,with broad band of coiled-serpent forms,,Di. 13.8 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"A. HELLSTRÖM, Mölndal, Sweden",,private,"Mölndal, Sweden",yes,,
142,FLAT HU (wine vessel),item,Bronze,Containers,metalwork; bronze,Inlaid with gold and silver,,H. 26.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"G. PILSTER, Berlin",,private,"Berlin, Germany",yes,,
143,POLE SHAFT、、,item,Bronze,Tools,metalwork; bronze,with two hares,,L. 25.9 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"A. HELLSTRÖM, Mölndal, Sweden",,private,"Malmö, Sweden",yes,,
144,CH'UN (bell),item,Bronze,Musical Instruments,metalwork; bronze,,,H. 38 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"ÖSTASIATISKA SAMLINGARNA, Stockholm",,museum,"Stockholm, Sweden",yes,,
145,LEI (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 25 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"PROFESSOR AND MRS. C. G. SELIGMAN, Toot Baldon, Oxford",,private,"Oxfordshire, U.K.",yes,,
146,T'AO-T'IEH (OGRE) MASK,item,Bronze,Ornament,metalwork; bronze,openwork,,"H. 27 cm, W. 3.25 cm",1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"D. DAVID-WEILL, Paris",,private,"Paris, France",yes,,
147,I (ewer),item,Bronze,Containers,metalwork; bronze,Accompanies No. 158,Inscribed,L. 38 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,Ch'u State,,"MR. AND MRS. WALTER SEDGWICK, London",,private,"London, U.K.",yes,,
158,P'AN (basin) Accompanies No. 147,item,Bronze,Containers,metalwork; bronze,,Inscribed,W. 43.8 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,Ch'u State,,"MR. AND MRS. WALTER SEDGWICK, London",,private,"London, U.K.",,,
148,PAIR OF POLE FINIALS,item,Bronze,Vehicles,metalwork; bronze,in the form of a mule's head,,H. 14.5 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"G. EUMORFOPOULOS, London",,private,"London, U.K.",yes,,
149,AXE-HEAD,item,Bronze,Tools,metalwork; bronze,,,L. 12.8 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",,,
150,"DISK, gold foil",item,Metals,,metalwork;  gold,,,Di. 17 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"ÖSTASIATISKA SAMLINGARNA, Stockholm",,museum,"Stockholm, Sweden",,,
151&161,PLAQUE,set,Bronze,Ornament,metalwork; bronze,"in the form of a tiger with an antelope, Pair with No. 161",,15.1 by 9.9 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"THE WILLIAM ROCKHILL NELSON GALLERY OF ART, Kansas City",,museum,"Kansas, U.S.A.",yes,,
152,CEREMONIAL SHAFT-HEAD,item,Bronze,Tools,metalwork; bronze,with head and animal decoration,,H. 17 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",yes,,
153,PAIR OF BUCKLES,item,Metals,,metalwork; gold,,,"H. 3 cm, W. 3.6 cm",1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
154,DAGGER-HILT,item,Metals,,metalwork; gold,,,"H. 9.5 cm, W. 5.5 cm",1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
155,SWORD,item,Bronze,Weapons,metalwork; bronze,with engraved dragon,,L. 56.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"A. HELLSTRÖM, Mölndal, Sweden",,private,"Malmö, Sweden",yes,,
156,FU (food vessel),item,Bronze,Containers,metalwork; bronze,,,H. 22 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"C. T. LOO, Paris",,private,"Paris, France",,,
157,HINGE with human face,item,Bronze,Tools,metalwork; bronze,,,H. 2.9 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",yes,,
159,BUTT OF A HALBERD (ko)halberd、、**butt**,item,Bronze,Weapons,metalwork; bronze,,,L. 15 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"ÖSTASIATISKA SAMLINGARNA, Stockholm",,private,"Stockholm, Sweden",yes,,
160,LOCK,item,Bronze,Furnishings,metalwork; bronze,,,"H. 14.6 cm, W. 11 cm",1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"D. DAVID-WEILL, Paris",,private,"Paris, France",yes,,
151&161,PLAQUE,,Bronze,Ornament,metalwork; bronze,"in the form of a tiger with an antelope, Pair with No. 151",,15.1 by 9.9 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"THE WILLIAM ROCKHILL NELSON GALLERY OF ART, Kansas City",,museum,"Kansas, U.S.A.",yes,,
162,HO (wine vessel),item,Bronze,Containers,metalwork; bronze,,,H. 31.7 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"THE GERMAN STATE MUSEUMS, Berlin",,museum,"Berlin, Germany",yes,,
163,KUEI (food vessel),item,Bronze,Containers,metalwork; bronze,with square stand,"Inscribed, but inscription erased",H. 25.7 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"A. STOCLET, Brussels",,private,"Brussels, Belgium",,,
164,TS'UNG (a ritual emblem),item,Jade,Ceremonial Objects,gemstones; jade,,,H. 39.8 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
165,TSUN (wine vessel),item,Bronze,Containers,metalwork; bronze,in the shape of an elephant-like animal,Inscribed,H. 26 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"H. G. OEDER, Altmark, Germany",,private,"Altmark, Germany",yes,,
166,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,"Hunting scenes, animals and birds",,H. 25.7 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"A. STOCLET, Brussels",,private,"Brussels, Belgium",yes,,
167,T'AO-T'IEH (OGRE) MASK,item,Bronze,Ornament,metalwork; bronze,,,"H. 6.6 cm, W. 7 cm",1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
168,CHIO (wine vessel) and cover,item,Bronze,Containers,metalwork; bronze,National Treasure B,Inscribed,H. 19.3 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"MATSASAKU SHIOHARA, Tokyo",,private,"Tokyo, Japan",yes,,
169,HALBERD HEAD (ko),item,Bronze,Weapons,metalwork; bronze,,,L. 28.6 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"A. HELLSTRÖM, Mölndal, Sweden",,private,"Malmö, Sweden",yes,,
170,SPEAR HEAD,item,Bronze,Weapons,metalwork; bronze,,,L. 27.9 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
171,PI (ritual disk),item,Jade,Ceremonial Objects,gemstones; jade,black and green,,Di. 21.8 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
172,SPEAR HEAD,item,Bronze,Weapons,metalwork; bronze,,,L. 28 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"MALMÖ MUSEUM, Malmö, Sweden",,museum,"Malmö, Sweden",,,
173,SPEAR HEAD,item,Jade,Ornamental Objects,gemstones; jade,with copper turquoise-encrusted socket,,H. 19.8 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
174,AXE,item,Jade,Utilitarian Objects,gemstones; jade,,,"H. 24 cm, W. 17.6 cm",1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
175,SPEAR HEAD,item,Bronze,Weapons,metalwork; bronze,with nielloed diaper pattern,,L. 27.4 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"D. DAVID-WEILL, Paris",,private,"Paris, France",yes,,
176,SPEAR HEAD,item,Bronze,Weapons,metalwork; bronze,with incised dragon design on lower half,,L. 21 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"MADAME RAMET, Paris",,private,"Paris, France",yes,,
177,CEREMONIAL AXE,item,Bronze,Tools,metalwork; bronze,leopard in relief,,"L. 19.5 cm, W. 12.2 cm",1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"C. A. PIER, Bussum, Holland",,private,"Bussum, Netherlands",yes,,
178,YU (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 34 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"THE WILLIAM ROCKHILL NELSON GALLERY OF ART, Kansas City",From the Tuan Fang Collection,museum,"Kansas, U.S.A.",yes,,
179,T'AO-T'IEH (OGRE) MASK,item,Bronze,Ornament,metalwork; bronze,,,"H. 14.2 cm, W. 16.3 cm",1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"D. DAVID-WEILL, Paris",,private,"Paris, France",yes,,
180,SQUARE HU (wine vessel),item,Bronze,Containers,metalwork; bronze,Inlaid with malachite,Inscribed,H. 37.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"THE UNIVERSITY MUSEUM, University of Pennsylvania",,museum,"Pennsylvania, U.S.A.",yes,,
181,CHUNG (bell),item,Bronze,Musical Instruments,metalwork; bronze,,,H. 54.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"A. STOCLET, Brussels",,private,"Brussels, Belgium",yes,,
182,TSUN (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 30.5 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"MRS. C. L. AND MISS RUTHERSTON, Farnham and London",From the Collection of Charles L. Rutherston,private,"London, U.K.",yes,,
183,TING (caldron),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 18.8 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"W. VAN DER MANDELE, Bloemendaal, Holland",,private,"Bloemendaal, Netherlands",yes,,
184,KU (wine vessel),item,Bronze,Containers,metalwork; bronze,k'uei dragon decoration,,H. 26 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"H. E. BURNEY, Bradford",,private,"Bradford, U.K.",yes,,
185,CHIH (wine vessel),item,Bronze,Containers,metalwork; bronze,,,H. 19.3 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"A. HELLSTRÖM, Mölndal, Sweden",,private,"Malmö, Sweden",yes,,
186,RECUMBENT BUFFALO,item,Bronze,Sculptures,metalwork; bronze,,,"H. 11.5 cm, L. 20 cm",1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"ALFRED H. PILLSBURY, Minneapolis, U.S.A.",,private,"Minnesota, U.S.A.",yes,,
187,TSUN (wine vessel),item,Bronze,Containers,metalwork; bronze,with single handle,Inscribed,H. 21.6 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"JOHN SPARKS, London",,private,"London, U.K.",yes,,
188,LI (caldron),item,Bronze,Containers,metalwork; bronze,,,H. 15.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"MRS CHRISTIAN R. HOLMES, New York",,private,"New York, U.S.A.",yes,,
189,LYNCH-PIN,item,Bronze,Vehicles,metalwork; bronze,in the form of a ram's head,,H. 15.2 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"MAJOR-GENERAL SIR NEILL MALCOLM, K.C.B., D.S.O., London",,private,"London, U.K.",yes,,
190,JINGLE,item,Bronze,Musical Instruments,metalwork; bronze,The centre piece is decorated with designs of animals in relief,,L. 33.4 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"H. J. OPPENHEIM, London",,private,"London, U.K.",yes,,
191,LYNCH-PIN,item,Bronze,Vehicles,metalwork; bronze,in the form of a human figure,,H. 15.8 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"MAJOR-GENERAL SIR NEILL MALCOLM, K.C.B., D.S.O., London",,private,"London, U.K.",yes,,
192,SPOON,item,Bronze,Tools,metalwork; bronze,with dragon ornament,,L. 28.7 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"A. HELLSTRÖM, Mölndal, Sweden",,private,"Mölndal, Sweden",yes,,
193,PLAQUE,item,Bronze,Ornament,metalwork; bronze,with human head,,"H. 7 cm, W. 6.7 cm",1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"ÖSTASIATISKA SAMLINGARNA, Stockholm",,museum,"Stockholm, Sweden",yes,,
194,KO BLADE,item,Bronze,Weapons,metalwork; bronze,,,L. 29.5 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"D. DAVID-WEILL, Paris",,private,"Paris, France",,,
195,HU (wine vessel) and cover,item,Bronze,Containers,metalwork; bronze,,,H. 37 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"D. DAVID-WEILL, Paris",,private,"Paris, France",yes,,
196,YU (wine vessel) and cover,item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 34.5 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"M. W. VAN DER MANDELE, Bloemendaal, Holland",,private,"Bloemendaal, Netherlands",yes,,
197,AXE HEAD,item,Bronze,Tools,metalwork; bronze,,,"H. 30.1 cm, W. 32 cm",1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"D. DAVID-WEILL, Paris",,private,"Paris, France",yes,,
198,TING (caldron),item,Bronze,Containers,metalwork; bronze,,,H. 18.2 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"A. HELLSTRÖM, Mölndal, Sweden",,private,"Malmö, Sweden",yes,,
199,YU (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 24.5 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"G. EUMORFOPOULOS, London",,private,"London, U.K.",yes,,
200,RECTANGULAR FOUR-LEGGED TING (caldron),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 22.2 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"A. STOCLET, Brussels",,private,"Brussels, Belgium",yes,,
201,KU (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 30 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"MISS M. L. HAMBLETON, Crawley, Sussex",,private,"Crawley, U.K.",yes,,
202,I (ewer),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 21 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"MR. AND MRS. WALTER SEDGWICK, London",,private,"London, U.K.",yes,,
203,YU (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 24.7 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"H. G. OEDER, Altmark, Germany",,private,"Altmark, Germany",yes,,
204,JINGLE,item,Bronze,Musical Instruments,metalwork; bronze,with horses' heads and inlaid turquoise decoration,,L. 33.7 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",yes,,
205,CHIH (wine vessel),item,Bronze,Containers,metalwork; bronze,with horns,Inscribed,H. 14.5 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"MR. AND MRS. WALTER SEDGWICK, London",,private,"London, U.K.",yes,,
206,JINGLE,item,Bronze,Musical Instruments,metalwork; bronze,"with two human heads in relief, inlaid with turquoise",,L. 35.5 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"MRS. MARGOT HOLMES, London",,private,"London, U.K.",yes,,
207,KO,item,Jade,Utilitarian Objects,gemstones; jade,"yellow jade, with bronze handle",,L. 28 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"A. HELLSTRÖM, Mölndal, Sweden",,private,"Mölndal, Sweden",yes,,
208,KO,item,Jade,Utilitarian Objects,gemstones; jade,"with bronze and turquoise handle,  jade blade",,L. 22.6 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
209,KO,item,Jade,Utilitarian Objects,gemstones; jade,"bronze handle inlaid with turquoise, jade blade",,L. 27.3 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"ALFRED H. PILLSBURY, Minneapolis, U.S.A.",,private,"Minnesota, U.S.A.",yes,,
210,CHÊNG (bell),item,Bronze,Musical Instruments,metalwork; bronze,,,H. 36 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",yes,,
211,KUEI (food vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 17.2 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"A. HELLSTRÖM, Mölndal, Sweden",,private,"Malmö, Sweden",yes,,
212,CHIO (wine vessel) and cover,item,Bronze,Containers,metalwork; bronze,in form of a bird,Inscribed,H. 25.5 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"MRS. CHRISTIAN R. HOLMES, New York",,private,"New York, U.S.A.",yes,,
213,YU (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 30.5 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,THE VICTORIA AND ALBERT MUSEUM (Eumorfopoulos Collection),,private,"London, U.K.",yes,,
214,KUEI (food vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 15.3 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"MADAME WANNIECK, Paris",,private,"Paris, France",yes,,
215,CHÜEH (wine vessel),item,Bronze,Containers,metalwork; bronze,bird ornament,,H. 23.5 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"A. HELLSTRÖM, Mölndal, Sweden",,private,"Mölndal, Sweden",yes,,
216,TING (caldron),item,Bronze,Containers,metalwork; bronze,with black inlay,Inscribed,H. 32 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"E. M. B. INGRAM, C.M.G., Rome",,private,"Rome, Italy",yes,,
217,GROUP,item,Bronze,Sculptures,metalwork; bronze,wrestlers,,"H. 15.2 cm, W. 15.3 cm",1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"CAPTAIN E. G. SPENCER-CHURCHILL, Blockley, Worc",,private,"Worcestershire, U.K.",yes,,
218,THREE PORTIONS OF A DRAGON,item,Organic Materials,,Animal derived materials; ivory,,,"L. 9.4 cm, 4.7 cm, 3.2 cm",1 Shang-Yin or and  Zhou Dynasty,Shang,,,"MRS. MARGOT HOLMES, London",,private,"London, U.K.",yes,,
219,HU (sceptre),item,Organic Materials,,Animal derived materials;  bone,,,L. 46 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"L. MICHON, Paris",,private,"Paris, France",,,
220,BIRD,item,Organic Materials,,Animal derived materials;  bone,inlaid with turquoise,,H. 11.2 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"A. STOCLET, Brussels",,private,"Brussels, Belgium",yes,,
221,DRAGON HEAD,item,Organic Materials,,Animal derived materials;  bone,,,H. 11 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"M. CALMANN, Paris",,private,"Paris, France",yes,,
222,HAIRPIN,item,Organic Materials,,Animal derived materials;  bone,,,L. 11.5 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"C. T. LOO, Paris",,private,"Paris, France",,,
